i_rank_show,c_comment,c_expense_group_main,c_creditor,d_doc,f_inv,c_acc_code,c_acc_name,c_acc_code2,c_acc_name2,,,,,
ที่,รายการ,ประเภทรายจ่าย,รายชื่อเจ้าหนี้,วันที่ตรวจรับ, จำนวนเงิน , รหัสบัญชีย่อยค่าใช้จ่ายเดบิต , ชื่อบัญชีย่อยค่าใช้จ่ายเดบิต , รหัสบัญชีย่อยค่าใช้จ่ายเครดิต , ชื่อบัญชีย่อยค่าใช้จ่ายเครดิต ,,,,,
159,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0352/63-65,โครงการต่อเนื่อง,บริษัท พีเอ็มแอล พลัส จำกัด,2020-08-28," 45,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
160,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0353/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-08-18," 224,890.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
161,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0353/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-08-18," 967,938.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
162,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0353/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-09-01," 1,439,973.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
163,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0353/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-08-28," 873,075.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
164,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0353/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-09-08," 651,351.80 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
165,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0353/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-09-17," 4,497,522.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
166,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0354/63-65,โครงการต่อเนื่อง,บริษัท ซิลลิค ฟาร์มา จำกัด,2020-08-14," 5,136.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
167,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0354/63-65,โครงการต่อเนื่อง,บริษัท ซิลลิค ฟาร์มา จำกัด,2020-06-14," 352,672.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
168,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0355/63-65,โครงการต่อเนื่อง,บริษัท แปซิฟิค เฮลธ์แคร์ (ไทยแลนด์) จำกัด,2020-08-20," 64,200.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
